repo_full_name,path,html_url
devtron-labs/devtron,scripts/devtron-reference-helm-charts/reference-chart_3-8-0/templates/hpa.yaml,https://github.com/devtron-labs/devtron/blob/c053adb6917ed92a3f2e470afc55576fce6df0b6/scripts/devtron-reference-helm-charts/reference-chart_3-8-0/templates/hpa.yaml
stargate/stargate,helm/stargate/values.yaml,https://github.com/stargate/stargate/blob/023d325e015bd23af26b4a73934619f89df6b925/helm/stargate/values.yaml
keptn/lifecycle-toolkit,mkdocs.yml,https://github.com/keptn/lifecycle-toolkit/blob/40e195d78dd1886166e17d2e9c69b75a249fc384/mkdocs.yml
moleculerjs/docker-demo,k8s.yaml,https://github.com/moleculerjs/docker-demo/blob/8625730163e1a6661759c49f9124ad89b4b9408a/k8s.yaml
sanchitwake1996/manifest-files,hpa.yml,https://github.com/sanchitwake1996/manifest-files/blob/6494d9ef20f07c72e04a8ba5f6a693be368bcb7b/hpa.yml
Edenb27/k8s_project,yolo5.yaml,https://github.com/Edenb27/k8s_project/blob/d5bce73d18c91dce6c706b3f82b57662a99e50d7/yolo5.yaml
JinsuYeo/hachwimu-iac-pub,hpa.yaml,https://github.com/JinsuYeo/hachwimu-iac-pub/blob/2a045f6eb42ee9a3fccef4aef75581db86b8b99e/hpa.yaml
manimaul/tartan37.com,k8s.yml,https://github.com/manimaul/tartan37.com/blob/29ab8c391d8ec69531d1c79e6389010ee7381b7f/k8s.yml
ymesika/istio_multiclusters_demos,istio.yaml,https://github.com/ymesika/istio_multiclusters_demos/blob/b05cc5ddd298d354dd70eee0b092bdda110767da/istio.yaml
vikas-gautam/HFC-ASSIGNMENT,hpa.yml,https://github.com/vikas-gautam/HFC-ASSIGNMENT/blob/6187f106897fa30434bcc9de4975c6855d4a577f/hpa.yml
SilNuxx/k8s-cluster-app-demo,bundle.yaml,https://github.com/SilNuxx/k8s-cluster-app-demo/blob/bfb56421fb35cf7980a1f362fd0cf9ac3d8f052a/bundle.yaml
Katy0903/acit3496_project2,newp2.yml,https://github.com/Katy0903/acit3496_project2/blob/57b3c6691dfbcc5c5f95adaa3f3a365c8425f9e1/newp2.yml
jwdavis/k8s-demo-app,deploy.yaml,https://github.com/jwdavis/k8s-demo-app/blob/4a969f0ac45339c1f82776cf47adc3b7036d78e6/deploy.yaml
fanb129/Kube-CC,doc/openebs/nfs-operator.yaml,https://github.com/fanb129/Kube-CC/blob/c82729f95269148468437d75e4d493a88df122be/doc/openebs/nfs-operator.yaml
NancyR17/Testing_N,Hpa.yaml,https://github.com/NancyR17/Testing_N/blob/d17e42b22df7e4588ce13a1920f88f59b9896b2e/Hpa.yaml
kcacademic/e2e-application,tools/kubeless/kubeless-v1.0.4.yaml,https://github.com/kcacademic/e2e-application/blob/504e4bcc378fd70650a4e40c9e7924fa7f3f74e3/tools/kubeless/kubeless-v1.0.4.yaml
ioannismt/kubernetes,hpa.yaml,https://github.com/ioannismt/kubernetes/blob/ac393708a0fe8049ef40f1111fb99059088dc3ca/hpa.yaml
didim365-kdh/gitlab,values.yaml,https://github.com/didim365-kdh/gitlab/blob/677f3bbebf6e49cabbc65c3a4cee46d7bb564545/values.yaml
Karina-gt/K8S-HPA,app.yaml,https://github.com/Karina-gt/K8S-HPA/blob/a82d02c4c036ca26af4abe3c3a0b0962f771b2c0/app.yaml
jinwoo0824/test,sign.yaml,https://github.com/jinwoo0824/test/blob/dfb884cc3c0640a30bbf126a21da5d2f967534e4/sign.yaml
afnanahmadtariq/last_seen,hpa.yml,https://github.com/afnanahmadtariq/last_seen/blob/4dd1d5b2cae852e0051b7f90e9d0456012f2651f/hpa.yml
paradocx96/DeliveryGateway-API,k8s/hpa.yml,https://github.com/paradocx96/DeliveryGateway-API/blob/3d476d32a1c93af9ff6f8bca84f8bec7439d54a8/k8s/hpa.yml
nirmata/sample-integrations,istio/kiali.yaml,https://github.com/nirmata/sample-integrations/blob/d08f3a76dbcd64daba31cb0c14c0103f4521b363/istio/kiali.yaml
markvincze/IntroductionToKubernetes,hpa.yaml,https://github.com/markvincze/IntroductionToKubernetes/blob/a037c85fb35fcc2ab6c3d812044a0d842aceb305/hpa.yaml
imdadMahammed/Useful-Kubernetes-Manifests,HPA_DOC.yml,https://github.com/imdadMahammed/Useful-Kubernetes-Manifests/blob/d50c61eeaae5ad4ba1877b3f98476d72fb7cf941/HPA_DOC.yml
stinoy/sample-app,hpa.yaml,https://github.com/stinoy/sample-app/blob/26981a693f9ce1f3ed039d20cbf78238eb934c99/hpa.yaml
iamsamitdev/IngressCluster,hpa-v2.yaml,https://github.com/iamsamitdev/IngressCluster/blob/33b9d0a7356eae22c6a840d4200e6b2b74f33add/hpa-v2.yaml
Sufiyan-dev/cc-defi-frontend,hpa.yaml,https://github.com/Sufiyan-dev/cc-defi-frontend/blob/926622f1a28e51b51f05c8ff9fcb26598e0b74ff/hpa.yaml
arjun-s-XL/k8s,hpa.yaml,https://github.com/arjun-s-XL/k8s/blob/3c43076f711438b249000562909aed6f42c32179/hpa.yaml
ChoiYoungHa/FISA3-Kubernetes-Cluster-StressTest,HPA.yaml,https://github.com/ChoiYoungHa/FISA3-Kubernetes-Cluster-StressTest/blob/7cfa9cc8bbe454ecdd7d026ac2362c6ca0649e6f/HPA.yaml
kelvin-kahuho/Technical-Interview---Savannah-Informatics,hpa.yaml,https://github.com/kelvin-kahuho/Technical-Interview---Savannah-Informatics/blob/083a179c5883afc0d8abaf309f4ba413fd9273ff/hpa.yaml
VedantDomadiya/eks-terraform-manifests,hpa.yaml,https://github.com/VedantDomadiya/eks-terraform-manifests/blob/b874de0aa40b3b5923a0c7bce6d30c42abb8a804/hpa.yaml
Tedydev-web/Client-ParkingLot,k8s.yaml,https://github.com/Tedydev-web/Client-ParkingLot/blob/2be935fe0da00ea8385c51e5ffab09aa1d1ef8bb/k8s.yaml
manojbalaji1/aws-airflow-helm,values.yml,https://github.com/manojbalaji1/aws-airflow-helm/blob/cb1ca59ddfed65766c6155fafe39fba0c929eb8d/values.yml
yasinterol/hpaToKeda,hpa.yml,https://github.com/yasinterol/hpaToKeda/blob/590635f7d9bcab79a061a638df4264aeb606245e/hpa.yml
projeli/k8s,ui-hpa.yaml,https://github.com/projeli/k8s/blob/0711a1746e853181ccbced1d5db8751cfd3fe6eb/ui-hpa.yaml
chigozieum/wifano.ai,wifano.yml,https://github.com/chigozieum/wifano.ai/blob/cf3a89629bb069a500b238ba0fcf85383d1ba8e8/wifano.yml
NgocHai220998/ngochai220998,keda.yaml,https://github.com/NgocHai220998/ngochai220998/blob/e7d981035c9e56cd863089cb9fafee6d59a8cdff/keda.yaml
dev-shinde/Inksight,k8/api-gateway/hpa.yaml,https://github.com/dev-shinde/Inksight/blob/1794cf110bb771c77d8fd0c70fa88369206f85fa/k8/api-gateway/hpa.yaml
Konstantin-Lanin-it/Mindbox_is_the_best_IT_company,config.yaml,https://github.com/Konstantin-Lanin-it/Mindbox_is_the_best_IT_company/blob/110ae23fc0c8a797e0b02d8e099d5698b07a0a2e/config.yaml
fabriziomachado/go-hpa,hpa.yml,https://github.com/fabriziomachado/go-hpa/blob/fcc81e6b96eeba5ebd7a4de798537c480e690c18/hpa.yml
andre-luiz1997/postech-tech-challenge,hpa.yaml,https://github.com/andre-luiz1997/postech-tech-challenge/blob/72615d8df1091f4e6e1c5b90cd5a77008f7afa2e/hpa.yaml
dev-shinde/Inksight,k8/calculator/hpa.yaml,https://github.com/dev-shinde/Inksight/blob/1794cf110bb771c77d8fd0c70fa88369206f85fa/k8/calculator/hpa.yaml
ashishkumar256/tmp,pr.yaml,https://github.com/ashishkumar256/tmp/blob/d7a65e8cdf802ebe373868e5392ccd6dd11f66de/pr.yaml
ArunMagi/kubernetes,hpa.yaml,https://github.com/ArunMagi/kubernetes/blob/d7d09af06dd7b3d3915e6cb52fbec1b69c05ab5e/hpa.yaml
newerton/codeeducation-kubernetes-hpa,hpa.yaml,https://github.com/newerton/codeeducation-kubernetes-hpa/blob/628b0d1fcfdef7860e564f20d4831c1bd357c50d/hpa.yaml
Nency-Ravaliya/YatriDay10-kubernetes-minikube-project,hpa-v2.yaml,https://github.com/Nency-Ravaliya/YatriDay10-kubernetes-minikube-project/blob/83f7f4492f02ec2e2bc4af1016904df7463ae0ab/hpa-v2.yaml
zadi2712/demoGH,hpa.yaml,https://github.com/zadi2712/demoGH/blob/451c9ce8b6eb6571c8fcaf43705b2b767c8e82ba/hpa.yaml
shahidmdghouse/CloudAssessment02,hpa.yaml,https://github.com/shahidmdghouse/CloudAssessment02/blob/7eb569c223918223fa8e26f8fd321bfd150208ae/hpa.yaml
Nguyenkhanh98/depoyment-sample,role.yaml,https://github.com/Nguyenkhanh98/depoyment-sample/blob/20364e95ed31ac13a8f3305c6e12bf431d2ec165/role.yaml
vfarcic/flagger-contour,canary.yaml,https://github.com/vfarcic/flagger-contour/blob/6f850593ef787dc19af0c776db5e9395172e2d8b/canary.yaml
akimabs/cobain,k8s/hpa.yml,https://github.com/akimabs/cobain/blob/c4337c62b428c704ed9eeaa8e439deb42484f934/k8s/hpa.yml
vitorpadovan/gprc-study,k8/hpa.yaml,https://github.com/vitorpadovan/gprc-study/blob/9f0494c8796c379e07213db2b7b5407af99ef4f2/k8/hpa.yaml
RedHatTraining/CS22X-apps,resources/autoscale-pods/hpa.yaml,https://github.com/RedHatTraining/CS22X-apps/blob/b64d617c9f83e679db70ee893469dab3ba929e4a/resources/autoscale-pods/hpa.yaml
zalehamza/k8s,hpa.yaml,https://github.com/zalehamza/k8s/blob/3f97abc9475050cd8afb8b6750223f96f632c730/hpa.yaml
mUsman3/kubernetes-101,hpa.yaml,https://github.com/mUsman3/kubernetes-101/blob/5d191c28d9735158352640136bb096cacc2fe3c8/hpa.yaml
yashsinghhh/WinterHack-Kestra,hpa.yaml,https://github.com/yashsinghhh/WinterHack-Kestra/blob/2e5725a5a94304c527d01ce62619aa2c20b4e0f6/hpa.yaml
deepak4566/HTTPS-k8s-CloudnativePg,hpa.yaml,https://github.com/deepak4566/HTTPS-k8s-CloudnativePg/blob/3fcde6f0569bb5d4c8335b6c3e5bc0ff31a4bcdd/hpa.yaml
DibyashaktiMoharana/k8sApp,hpa.yaml,https://github.com/DibyashaktiMoharana/k8sApp/blob/e81495507292f0ecfa37b5fcf970d0f5ce5b8b14/hpa.yaml
LucasBello/fiap-app,hpa.yaml,https://github.com/LucasBello/fiap-app/blob/f188a5301224397a6618bcbb6f55eb8dfce8ae99/hpa.yaml
