repo_full_name,Chart.yaml,values.*.yaml,templates/,charts/,helm_release,helm_install,kustomize,terraform_manifest
030/yaam,0,0,0,0,0,0,0,0
056zedelta/ASCN-TP,0,0,1,0,0,0,0,0
0990livne/alexandra-docker-project,0,0,0,0,0,0,0,0
0DevGuru0/k8s-InAction,0,0,0,0,0,1,0,0
0nouman0/kroolo-poligap,0,0,0,0,0,0,0,0
0nouman0/poligap_app,0,0,0,0,0,0,0,0
12OneTwo12/kubernetes-opentelemetry-manifest,0,0,0,0,0,0,0,0
18F/identity-loadtest,0,0,0,0,0,0,6,0
1Panel-dev/KubePi,0,0,0,0,0,0,0,0
1jashshah/DEVOPS_TRAINING,0,0,0,0,0,1,0,0
2143-Labs/2143-k8s,0,0,0,0,0,0,3,0
21888/goctl-chabai,0,0,0,0,0,0,0,0
21saikat/K8s-HPA-Autoscaling-App,0,0,0,0,0,0,0,0
237summit/eks-project,0,0,0,0,0,5,2,0
270aldo/genesis_beta,0,0,0,0,0,0,0,0
2bcloud-task/2bcloud,0,0,0,0,0,0,0,0
314ga/SDU_CloudComputing-EmergencyRouting,0,0,0,0,0,0,0,0
365614269/CNCF-Graduated,0,0,0,0,0,0,4,0
3mstecnologia/Zabbix_Docker_3ms,0,0,0,0,0,0,0,0
3sergey/kubernetes-practice,0,0,0,0,0,0,0,0
3soat-software-architecture-pos-tech/g2-3soat-sa-app,0,0,0,0,0,0,0,0
3soat-software-architecture-pos-tech/g2-3soat-sa-app-category-product,0,0,0,0,0,0,0,0
3soat-software-architecture-pos-tech/g2-3soat-sa-app-order-service,0,0,0,0,0,0,0,0
3soat-software-architecture-pos-tech/g2-3soat-sa-app-payments-microservice,0,0,0,0,0,0,0,0
40docs/manifests-applications,0,0,0,0,0,0,13,0
4soat-grupo-60/pedido-ms,0,0,0,0,0,0,0,0
5-hamburgueiros/tech_challenge,0,0,0,0,0,0,0,0
5sControl/5s-webserver,0,0,0,0,0,0,0,0
734ai/cyber-llm,0,0,0,0,0,1,0,0
8SOAT-G4-Tech-Challenge/tech-challenge-order,0,0,0,0,0,0,0,0
8soat-grupo35/tech-challenge-fase1,0,0,0,0,0,0,0,0
98labs/supabase-docs,0,0,0,0,3,7,4,0
9SOAT/fast-food-order,0,0,0,0,0,0,0,0
A3nktr0/orchestrator,0,0,0,0,0,0,0,0
AAkakarot/go-argo-app,0,0,0,0,0,0,0,0
ABCall-Project/abcall-auth-api,0,0,0,0,0,0,0,0
