repo_full_name,Owner,Project,File Path,apiVersion,Is Helm Template,Has Behavior,raw_length,Metric Type,Metric Name,HPAClass
Karina-gt/K8S-HPA,Karina-gt,K8S-HPA,app.yaml,autoscaling/v2,False,False,1148,Resource,cpu,UNKNOWN
VedantDomadiya/eks-terraform-manifests,VedantDomadiya,eks-terraform-manifests,hpa.yaml,autoscaling/v2,False,False,403,Resource,cpu,UNKNOWN
zadi2712/demoGH,zadi2712,demoGH,hpa.yaml,autoscaling/v1,False,False,260,resource,cpu,V2_RESOURCE_CPU_MEMORY
moleculerjs/docker-demo,moleculerjs,docker-demo,k8s.yaml,autoscaling/v2beta2,False,False,8280,Resource,cpu,LARGE_YAML
ChoiYoungHa/FISA3-Kubernetes-Cluster-StressTest,ChoiYoungHa,FISA3-Kubernetes-Cluster-StressTest,HPA.yaml,autoscaling/v2,False,False,357,Resource,cpu,UNKNOWN
dev-shinde/Inksight,dev-shinde,Inksight,k8/api-gateway/hpa.yaml,autoscaling/v2,False,False,368,Resource,cpu,UNKNOWN
Tedydev-web/Client-ParkingLot,Tedydev-web,Client-ParkingLot,k8s.yaml,autoscaling/v2beta2,False,False,1855,Resource,cpu,UNKNOWN
fabriziomachado/go-hpa,fabriziomachado,go-hpa,hpa.yml,autoscaling/v1,False,False,250,resource,cpu,V2_RESOURCE_CPU_MEMORY
yasinterol/hpaToKeda,yasinterol,hpaToKeda,hpa.yml,autoscaling/v2,False,False,433,Resource,cpu,UNKNOWN
ymesika/istio_multiclusters_demos,ymesika,istio_multiclusters_demos,istio.yaml,autoscaling/v2beta1,False,False,133508,Resource,cpu,LARGE_YAML
ymesika/istio_multiclusters_demos,ymesika,istio_multiclusters_demos,istio.yaml,autoscaling/v2beta1,False,False,133508,Resource,cpu,LARGE_YAML
ymesika/istio_multiclusters_demos,ymesika,istio_multiclusters_demos,istio.yaml,autoscaling/v2beta1,False,False,133508,Resource,cpu,LARGE_YAML
ymesika/istio_multiclusters_demos,ymesika,istio_multiclusters_demos,istio.yaml,autoscaling/v2beta1,False,False,133508,Resource,cpu,LARGE_YAML
ymesika/istio_multiclusters_demos,ymesika,istio_multiclusters_demos,istio.yaml,autoscaling/v2beta1,False,False,133508,Resource,cpu,LARGE_YAML
markvincze/IntroductionToKubernetes,markvincze,IntroductionToKubernetes,hpa.yaml,autoscaling/v1,False,False,256,resource,cpu,V2_RESOURCE_CPU_MEMORY
Katy0903/acit3496_project2,Katy0903,acit3496_project2,newp2.yml,autoscaling/v2,False,False,4983,Resource,cpu,LARGE_YAML
jinwoo0824/test,jinwoo0824,test,sign.yaml,autoscaling/v1,False,False,2202,resource,cpu,V2_RESOURCE_CPU_MEMORY
jwdavis/k8s-demo-app,jwdavis,k8s-demo-app,deploy.yaml,autoscaling/v2,False,False,1304,Resource,cpu,UNKNOWN
Nency-Ravaliya/YatriDay10-kubernetes-minikube-project,Nency-Ravaliya,YatriDay10-kubernetes-minikube-project,hpa-v2.yaml,autoscaling/v2,False,False,1302,Resource,cpu,UNKNOWN
iamsamitdev/IngressCluster,iamsamitdev,IngressCluster,hpa-v2.yaml,autoscaling/v2,False,True,714,Resource,cpu,ADVANCED_BEHAVIOR
andre-luiz1997/postech-tech-challenge,andre-luiz1997,postech-tech-challenge,hpa.yaml,autoscaling/v2,False,False,361,Resource,cpu,UNKNOWN
Sufiyan-dev/cc-defi-frontend,Sufiyan-dev,cc-defi-frontend,hpa.yaml,autoscaling/v2,False,True,383,,,ADVANCED_BEHAVIOR
ArunMagi/kubernetes,ArunMagi,kubernetes,hpa.yaml,autoscaling/v2,False,False,962,Resource,cpu,UNKNOWN
arjun-s-XL/k8s,arjun-s-XL,k8s,hpa.yaml,autoscaling/v1,False,False,337,resource,cpu,V2_RESOURCE_CPU_MEMORY
afnanahmadtariq/last_seen,afnanahmadtariq,last_seen,hpa.yml,autoscaling/v2,False,False,353,Resource,cpu,UNKNOWN
kelvin-kahuho/Technical-Interview---Savannah-Informatics,kelvin-kahuho,Technical-Interview---Savannah-Informatics,hpa.yaml,autoscaling/v2,False,False,362,Resource,cpu,UNKNOWN
newerton/codeeducation-kubernetes-hpa,newerton,codeeducation-kubernetes-hpa,hpa.yaml,autoscaling/v1,False,False,262,resource,cpu,V2_RESOURCE_CPU_MEMORY
dev-shinde/Inksight,dev-shinde,Inksight,k8/calculator/hpa.yaml,autoscaling/v2,False,False,374,Resource,cpu,UNKNOWN
stinoy/sample-app,stinoy,sample-app,hpa.yaml,autoscaling/v2,False,False,362,Resource,cpu,UNKNOWN
Edenb27/k8s_project,Edenb27,k8s_project,yolo5.yaml,autoscaling/v2,False,False,1161,Resource,cpu,UNKNOWN
paradocx96/DeliveryGateway-API,paradocx96,DeliveryGateway-API,k8s/hpa.yml,autoscaling/v1,False,False,309,resource,cpu,V2_RESOURCE_CPU_MEMORY
vikas-gautam/HFC-ASSIGNMENT,vikas-gautam,HFC-ASSIGNMENT,hpa.yml,autoscaling/v1,False,False,263,resource,cpu,V2_RESOURCE_CPU_MEMORY
Konstantin-Lanin-it/Mindbox_is_the_best_IT_company,Konstantin-Lanin-it,Mindbox_is_the_best_IT_company,config.yaml,autoscaling/v2,False,False,4725,Resource,cpu,LARGE_YAML
JinsuYeo/hachwimu-iac-pub,JinsuYeo,hachwimu-iac-pub,hpa.yaml,autoscaling/v2,False,False,1123,Resource,cpu,UNKNOWN
JinsuYeo/hachwimu-iac-pub,JinsuYeo,hachwimu-iac-pub,hpa.yaml,autoscaling/v2,False,False,1123,Resource,memory,UNKNOWN
JinsuYeo/hachwimu-iac-pub,JinsuYeo,hachwimu-iac-pub,hpa.yaml,autoscaling/v2,False,False,1123,Resource,cpu,UNKNOWN
JinsuYeo/hachwimu-iac-pub,JinsuYeo,hachwimu-iac-pub,hpa.yaml,autoscaling/v2,False,False,1123,Resource,memory,UNKNOWN
projeli/k8s,projeli,k8s,ui-hpa.yaml,autoscaling/v2,False,False,340,Resource,cpu,UNKNOWN
sanchitwake1996/manifest-files,sanchitwake1996,manifest-files,hpa.yml,autoscaling/v2,False,False,802,Resource,cpu,UNKNOWN
SilNuxx/k8s-cluster-app-demo,SilNuxx,k8s-cluster-app-demo,bundle.yaml,autoscaling/v2,False,False,1949,Pods,http_requests,UNKNOWN
ioannismt/kubernetes,ioannismt,kubernetes,hpa.yaml,autoscaling/v2beta1,False,False,521,Resource,cpu,UNKNOWN
manimaul/tartan37.com,manimaul,tartan37.com,k8s.yml,autoscaling/v1,False,False,1541,resource,cpu,V2_RESOURCE_CPU_MEMORY
shahidmdghouse/CloudAssessment02,shahidmdghouse,CloudAssessment02,hpa.yaml,autoscaling/v2,False,False,396,Resource,cpu,UNKNOWN
NancyR17/Testing_N,NancyR17,Testing_N,Hpa.yaml,autoscaling/v2,False,False,465,Resource,cpu,UNKNOWN
akimabs/cobain,akimabs,cobain,k8s/hpa.yml,autoscaling/v2,False,True,707,Resource,cpu,ADVANCED_BEHAVIOR
akimabs/cobain,akimabs,cobain,k8s/hpa.yml,autoscaling/v2,False,True,707,Resource,memory,ADVANCED_BEHAVIOR
vitorpadovan/gprc-study,vitorpadovan,gprc-study,k8/hpa.yaml,autoscaling/v2,False,False,465,Resource,cpu,UNKNOWN
zalehamza/k8s,zalehamza,k8s,hpa.yaml,autoscaling/v2,True,False,485,Resource,cpu,HELM_TEMPLATED
RedHatTraining/CS22X-apps,RedHatTraining,CS22X-apps,resources/autoscale-pods/hpa.yaml,autoscaling/v2,False,False,386,Resource,memory,UNKNOWN
