Owner,Project,File Path,apiVersion,Is Helm Template,raw_length
AFKD98,LLM_devops,config_v2_feedback/generated_configs_v2/dask/llama_rag/level_6/config_8.yaml,autoscaling/v2beta2,False,3799
npezzotti,flask-dogstatsd-kubernetes,kubernetes/external-metrics/datadog-metric-hpa.yaml,autoscaling/v2beta1,False,364
adekoyadapo,kind-kustomize,base/hpa.yaml,autoscaling/v1,False,244
AFKD98,LLM_devops,config_v2_feedback/generated_configs_v2/dask/deepseek_comb/level_6/config_5.yaml,autoscaling/v1,False,1272
korobprog,SuperMock,kubernetes/overlays/prod/hpa-patch.yaml,autoscaling/v2,False,721
srimantasahu,oopscoder,src/main/samplecodes/systemdesign/autoscalingink8s/hpa.yaml,autoscaling/v2,False,352
100-hours-a-week,3-team-Tasteam-cloud,v3-k8s/manifests/app/base/fastapi/hpa.yaml,autoscaling/v2,False,679
raga70,OpenVidStreamer,Backend/VideoStreamer/videoStreamer-hpa.yaml,autoscaling/v2,False,379
amitopenwriteup,kustomize,overlays/production/patch-hpa.yaml,autoscaling/v2,False,363
klimejo22,kubernetes_test,kubernetes/api-hpa.yaml,autoscaling/v2,False,351
Ashour158,People,kubernetes/employee-service.yaml,autoscaling/v2,False,5721
matthewyuh246,sample-webapp-php-manifests,manifests/overlays/prod/webapp/hpa.yaml,autoscaling/v2,False,144
BuoyantIO,gitops_examples,flux/apps/source/podinfo/patch.yaml,autoscaling/v2beta2,False,505
epodegrid,kubegenie-dataset,K/kamus-FLojoKF9dIi/kamus.yaml,autoscaling/v1,False,9716
hrs-org,hrs-inventory-service-api,k8s/hpa-uat.yaml,autoscaling/v2,False,1122
andersevenrud,microservice-rnd,deploy/dev/1-manifest/horizontalpodautoscaler-rnd-app.yaml,autoscaling/v1,False,715
fatihyldrmm,CodeCamp24Presentation,week-3/day-15/case1/autoscaler.yml,autoscaling/v2,False,556
ntu-ben,GRLScaler,macK8S/HPA/onlineboutique/cpu-80-mem-40/hpa-checkoutservice-cpu-80-mem-40.yaml,autoscaling/v2,False,604
ntu-ben,GRLScaler,macK8S/HPA/onlineboutique/cpu-80/hpa-redis-cart-cpu-80.yaml,autoscaling/v2,False,421
chanwit,kubeflow-manifests,tests/tests/legacy_kustomizations/knative-install/test_data/expected/autoscaling_v2beta1_horizontalpodautoscaler_activator.yaml,autoscaling/v2beta1,False,532
padojin,k8s-manifest-repo,base/frontend-hpa.yaml,autoscaling/v1,False,281
DogariuMatei,dds25-12,k8s/horizontal-pod-auatoscaler.yaml,autoscaling/v2,False,1054
AFKD98,LLM_devops,config_v2_feedback/generated_configs_v2/dask/llama_fsl/level_5/config_10.yaml,autoscaling/v2beta2,False,1331
