Owner,Project,File Path,Is Helm Template,apiVersion,ScaleTargetRef Kind,Has Behavior,Behavior ScaleUp StabilizationWindow,Behavior ScaleUp SelectPolicy,Behavior ScaleUp Policies,Behavior ScaleDown StabilizationWindow,Behavior ScaleDown SelectPolicy,Behavior ScaleDown Policies,MinReplicas,MaxReplicas,Metric Type,Metric Name,Target Kind,Target Value,ContainerResource Container
snakierboss52,k8s-kode-cloud,k8s/apache-hpa.yaml,False,autoscaling/v2,Deployment,False,,,,,,,5,5,Resource,cpu,Utilization,80,
krisztiansala,golang-helloworld,k8s/hpa.yaml,False,autoscaling/v2beta2,Deployment,False,,,,,,,2,5,Resource,cpu,Utilization,70,
KirillShakhov,DevOps.Labs.Deploy,k8s-manifests/facade-service-deployment.yaml,False,autoscaling/v2,Deployment,False,,,,,,,2,5,Resource,cpu,Utilization,40,
klebeer,code-challenge,devOps/flux/apps/base/backend-api.yaml,False,autoscaling/v2beta2,Deployment,False,,,,,,,1,3,Resource,cpu,Utilization,66,
sriramarji,usecase-eks-ec2-fargate,k8s-files/hpa/hpa-frontend-deployment.yml,False,autoscaling/v2,Deployment,False,,,,,,,1,3,Resource,cpu,Utilization,50,
sriramarji,usecase-eks-ec2-fargate,k8s-files/hpa/hpa-frontend-deployment.yml,False,autoscaling/v2,Deployment,False,,,,,,,1,3,Resource,memory,Utilization,50,
heemmanshuu,Audit_LLM_SecConFig,fetch_artifacthub/assets/routr_routr-connect.yaml,False,autoscaling/v2,Deployment,False,,,,,,,1,10,Resource,cpu,Utilization,50,
heemmanshuu,Audit_LLM_SecConFig,fetch_artifacthub/assets/routr_routr-connect.yaml,False,autoscaling/v2,Deployment,False,,,,,,,1,10,Resource,memory,Utilization,70,
heemmanshuu,Audit_LLM_SecConFig,fetch_artifacthub/assets/routr_routr-connect.yaml,False,autoscaling/v2,Deployment,False,,,,,,,1,10,Resource,cpu,Utilization,50,
heemmanshuu,Audit_LLM_SecConFig,fetch_artifacthub/assets/routr_routr-connect.yaml,False,autoscaling/v2,Deployment,False,,,,,,,1,10,Resource,memory,Utilization,70,
heemmanshuu,Audit_LLM_SecConFig,fetch_artifacthub/assets/routr_routr-connect.yaml,False,autoscaling/v2,Deployment,False,,,,,,,1,10,Resource,cpu,Utilization,50,
heemmanshuu,Audit_LLM_SecConFig,fetch_artifacthub/assets/routr_routr-connect.yaml,False,autoscaling/v2,Deployment,False,,,,,,,1,10,Resource,memory,Utilization,70,
heemmanshuu,Audit_LLM_SecConFig,fetch_artifacthub/assets/routr_routr-connect.yaml,False,autoscaling/v2,Deployment,False,,,,,,,1,10,Resource,cpu,Utilization,50,
heemmanshuu,Audit_LLM_SecConFig,fetch_artifacthub/assets/routr_routr-connect.yaml,False,autoscaling/v2,Deployment,False,,,,,,,1,10,Resource,memory,Utilization,70,
heemmanshuu,Audit_LLM_SecConFig,fetch_artifacthub/assets/routr_routr-connect.yaml,False,autoscaling/v2,Deployment,False,,,,,,,1,10,Resource,cpu,Utilization,50,
heemmanshuu,Audit_LLM_SecConFig,fetch_artifacthub/assets/routr_routr-connect.yaml,False,autoscaling/v2,Deployment,False,,,,,,,1,10,Resource,memory,Utilization,70,
jconover,platform-forge,k8s/apps/backend-api/hpa.yaml,False,autoscaling/v2,Deployment,False,,,,,,,1,10,Resource,cpu,Utilization,70,
abhigupta-codedb,k8ApiDemo,yaml/MongoDBExpress/mongodb-express-hpa.yaml,False,autoscaling/v1,Deployment,False,,,,,,,3,10,resource,cpu,Utilization,10.0,
ntu-ben,GRLScaler,macK8S/HPA/redis/mem-80/hpa-redis-mem-80.yaml,False,autoscaling/v2,Deployment,False,,,,,,,1,5,ContainerResource,memory,Utilization,80,redis
ntu-ben,GRLScaler,macK8S/HPA/redis/mem-80/hpa-redis-mem-80.yaml,False,autoscaling/v2,Deployment,False,,,,,,,1,8,ContainerResource,memory,Utilization,80,redis
5sControl,5s-webserver,manifests/autoscalers/machine-model-autoscaler.yaml,False,autoscaling/v2,Deployment,False,,,,,,,1,2,Resource,cpu,Utilization,80,
bahybintang,learn-sre,kubernetes/prod/backend-hpa.yaml,False,autoscaling/v2beta2,Deployment,False,,,,,,,1,5,Resource,cpu,Utilization,40,
RydlrCS,mixamo-blend-pipeline,k8s/hpa.yaml,False,autoscaling/v2,Deployment,True,60.0,Max,"[{""type"": ""Pods"", ""value"": 4, ""periodSeconds"": 60}, {""type"": ""Percent"", ""value"": 100, ""periodSeconds"": 60}]",300,Min,"[{""type"": ""Pods"", ""value"": 1, ""periodSeconds"": 60}, {""type"": ""Percent"", ""value"": 10, ""periodSeconds"": 60}]",2,20,Resource,cpu,Utilization,70,
RydlrCS,mixamo-blend-pipeline,k8s/hpa.yaml,False,autoscaling/v2,Deployment,True,60.0,Max,"[{""type"": ""Pods"", ""value"": 4, ""periodSeconds"": 60}, {""type"": ""Percent"", ""value"": 100, ""periodSeconds"": 60}]",300,Min,"[{""type"": ""Pods"", ""value"": 1, ""periodSeconds"": 60}, {""type"": ""Percent"", ""value"": 10, ""periodSeconds"": 60}]",2,20,Resource,memory,Utilization,80,
Raghunadh2004,book-store,k8/backend-hpa.yaml,False,autoscaling/v2,Deployment,False,,,,,,,1,3,Resource,cpu,Utilization,50,
ashifanassar,cart,deploy.yaml,False,autoscaling/v2,Deployment,False,,,,,,,3,10,Resource,cpu,Utilization,75,
nikhilsalgaonkar,k8s-projects,hpa.yaml,False,autoscaling/v2,Deployment,False,,,,,,,1,5,Resource,cpu,Utilization,50,
fperezb,testTenpo,k8s/hpa.yaml,False,autoscaling/v2,Deployment,False,,,,,,,2,20,Resource,cpu,Utilization,60,
jonatansouza,deliverly,apps/deliverly-back/kubernetes.yaml,False,autoscaling/v2,Deployment,False,,,,,,,2,5,Resource,cpu,Utilization,50,
jonatansouza,deliverly,apps/deliverly-back/kubernetes.yaml,False,autoscaling/v2,Deployment,False,,,,,,,2,5,Resource,memory,Utilization,50,
gusdev-r,k8s-study,k8s/hpa.yaml,False,autoscaling/v1,Deployment,False,,,,,,,1,3,resource,cpu,Utilization,25.0,
FelipeSilva0,fcg-k8s,k8s/apply-all.yaml,False,autoscaling/v2,Deployment,False,,,,,,,1,5,Resource,cpu,Utilization,60,
FelipeSilva0,fcg-k8s,k8s/apply-all.yaml,False,autoscaling/v2,Deployment,False,,,,,,,1,5,Resource,cpu,Utilization,60,
FelipeSilva0,fcg-k8s,k8s/apply-all.yaml,False,autoscaling/v2,Deployment,False,,,,,,,1,5,Resource,cpu,Utilization,60,
Ancillary-AGI,automed,k8s/patient-service-deployment.yaml,False,autoscaling/v2,Deployment,False,,,,,,,3,10,Resource,cpu,Utilization,70,
Ancillary-AGI,automed,k8s/patient-service-deployment.yaml,False,autoscaling/v2,Deployment,False,,,,,,,3,10,Resource,memory,Utilization,80,
RDarrylR,eks-cross-az-exploration,k8s/cross-az-optimization/05-per-az-deployment.yaml,False,autoscaling/v2,Deployment,False,,,,,,,2,10,Resource,cpu,Utilization,70,
RDarrylR,eks-cross-az-exploration,k8s/cross-az-optimization/05-per-az-deployment.yaml,False,autoscaling/v2,Deployment,False,,,,,,,2,10,Resource,cpu,Utilization,70,
RDarrylR,eks-cross-az-exploration,k8s/cross-az-optimization/05-per-az-deployment.yaml,False,autoscaling/v2,Deployment,False,,,,,,,2,10,Resource,cpu,Utilization,70,
aldo2510,ec_docker_kubernetes_001,sesion04/autoscalling/hpa.yml,False,autoscaling/v2,Deployment,False,,,,,,,1,10,Resource,cpu,Utilization,50,
muhamadilhamh,Laravel-CI-CD,laravel.yml,False,autoscaling/v2,Deployment,False,,,,,,,1,5,Resource,cpu,Utilization,50,
